#{"t_start": 1774554981.1472578, "env_id": "None"}
r,l,t,is_success,done_reason,reached_grasped,reached_on_belt,grasped_ratio,on_belt_ratio
-241.23499,500,66.023998,False,max_steps,False,False,0.0,0.0
-236.74025,500,66.228549,False,max_steps,False,False,0.0,0.0
-214.00945,500,66.557869,False,max_steps,False,False,0.0,0.0
-217.74294,500,66.55801,False,max_steps,False,False,0.0,0.0
-229.39674,500,66.558032,False,max_steps,False,False,0.0,0.0
-242.80434,500,66.55804,False,max_steps,False,False,0.0,0.0
-224.45522,500,66.558047,False,max_steps,False,False,0.0,0.0
-254.7052,500,66.558052,False,max_steps,False,False,0.0,0.0
-236.7472,500,66.558058,False,max_steps,False,False,0.0,0.0
-208.94366,500,66.558063,False,max_steps,False,False,0.0,0.0
-254.25342,500,67.205053,False,max_steps,False,False,0.0,0.0
-237.74756,500,67.396306,False,max_steps,False,False,0.0,0.0
-244.7578,500,67.728805,False,max_steps,False,False,0.0,0.0
-240.87212,500,67.72889,False,max_steps,False,False,0.0,0.0
-208.1924,500,67.728911,False,max_steps,False,False,0.0,0.0
-236.46083,500,67.728918,False,max_steps,False,False,0.0,0.0
-240.00485,500,67.728923,False,max_steps,False,False,0.0,0.0
-241.9011,500,67.728927,False,max_steps,False,False,0.0,0.0
-238.6804,500,67.728945,False,max_steps,False,False,0.0,0.0
-217.18456,500,67.728949,False,max_steps,False,False,0.0,0.0
-206.4527,500,68.381924,False,max_steps,False,False,0.0,0.0
-213.13753,500,68.580861,False,max_steps,False,False,0.0,0.0
-245.45363,500,82.2976,False,max_steps,False,False,0.0,0.0
-222.25182,500,82.297748,False,max_steps,False,False,0.0,0.0
-237.47403,500,82.297775,False,max_steps,False,False,0.0,0.0
-248.07927,500,82.297784,False,max_steps,False,False,0.0,0.0
-201.43248,500,82.29779,False,max_steps,False,False,0.0,0.0
-218.34103,500,82.297796,False,max_steps,False,False,0.0,0.0
-261.34177,500,82.297802,False,max_steps,False,False,0.0,0.0
-226.67685,500,82.297807,False,max_steps,False,False,0.0,0.0
-217.05835,500,83.114056,False,max_steps,False,False,0.0,0.0
-212.14026,500,83.34588,False,max_steps,False,False,0.0,0.0
-196.06044,500,83.753343,False,max_steps,False,False,0.0,0.0
-204.45735,500,83.753468,False,max_steps,False,False,0.0,0.0
-227.40514,500,83.753495,False,max_steps,False,False,0.0,0.0
-234.19211,500,83.753503,False,max_steps,False,False,0.0,0.0
-256.16162,500,83.753509,False,max_steps,False,False,0.0,0.0
-204.31422,500,83.753514,False,max_steps,False,False,0.0,0.0
-33.039898,500,83.753519,False,max_steps,True,True,0.144,0.104
-214.68684,500,83.753525,False,max_steps,False,False,0.0,0.0
-229.5113,500,84.436304,False,max_steps,False,False,0.0,0.0
-247.00655,500,84.641453,False,max_steps,False,False,0.0,0.0
-11.26192,437,84.688023,True,success_on_belt_end,True,True,0.3890160183066362,0.41418764302059496
-237.54112,500,84.817862,False,max_steps,False,False,0.0,0.0
-249.70702,500,84.81799,False,max_steps,False,False,0.0,0.0
